title
IMDb Charts
1. The Shawshank Redemption
2. The Godfather
3. The Dark Knight
4. The Godfather Part II
5. 12 Angry Men
6. Schindler's List
7. The Lord of the Rings: The Return of the King
8. Pulp Fiction
9. The Lord of the Rings: The Fellowship of the Ring
"10. The Good, the Bad and the Ugly"
11. Forrest Gump
12. The Lord of the Rings: The Two Towers
13. Fight Club
14. Inception
15. Star Wars: Episode V - The Empire Strikes Back
16. The Matrix
17. Goodfellas
18. One Flew Over the Cuckoo's Nest
19. Se7en
20. Interstellar
21. It's a Wonderful Life
22. Seven Samurai
23. The Silence of the Lambs
24. Saving Private Ryan
25. City of God
26. Life Is Beautiful
27. The Green Mile
28. Terminator 2: Judgment Day
29. Star Wars: Episode IV - A New Hope
30. Dune: Part Two
31. Back to the Future
32. Spirited Away
33. The Pianist
34. Parasite
35. Psycho
36. Gladiator
37. Spider-Man: Across the Spider-Verse
38. The Lion King
39. The Departed
40. Léon: The Professional
41. American History X
42. Whiplash
43. The Prestige
44. Grave of the Fireflies
45. Harakiri
46. The Usual Suspects
47. Casablanca
48. The Intouchables
49. Cinema Paradiso
50. Modern Times
51. Rear Window
52. Once Upon a Time in the West
53. Alien
54. City Lights
55. Django Unchained
56. Apocalypse Now
57. Memento
58. WALL·E
59. 12th Fail
60. Raiders of the Lost Ark
61. The Lives of Others
62. Sunset Boulevard
63. Avengers: Infinity War
64. Paths of Glory
65. Spider-Man: Into the Spider-Verse
66. Witness for the Prosecution
67. The Shining
68. The Great Dictator
69. Aliens
70. Inglourious Basterds
71. The Dark Knight Rises
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
73. Coco
74. Oldboy
75. American Beauty
76. Amadeus
77. Toy Story
78. Avengers: Endgame
79. Das Boot
80. Braveheart
81. Good Will Hunting
82. Princess Mononoke
83. Joker
84. Your Name.
85. High and Low
86. Once Upon a Time in America
87. 3 Idiots
88. Singin' in the Rain
89. Capernaum
90. Come and See
91. Requiem for a Dream
92. Toy Story 3
93. Star Wars: Episode VI - Return of the Jedi
94. Eternal Sunshine of the Spotless Mind
95. The Hunt
96. 2001: A Space Odyssey
97. Reservoir Dogs
98. Ikiru
99. Oppenheimer
100. Lawrence of Arabia
101. The Apartment
102. Incendies
103. North by Northwest
104. Citizen Kane
105. M
106. Scarface
107. Double Indemnity
108. Vertigo
109. Full Metal Jacket
110. Amélie
111. Heat
112. Up
113. A Clockwork Orange
114. To Kill a Mockingbird
115. A Separation
116. The Sting
117. Indiana Jones and the Last Crusade
118. Die Hard
119. Like Stars on Earth
120. Metropolis
121. Snatch
122. L.A. Confidential
123. 1917
124. Hamilton
125. Bicycle Thieves
126. Taxi Driver
127. Downfall
128. Dangal
129. For a Few Dollars More
130. Batman Begins
131. The Wolf of Wall Street
132. Some Like It Hot
133. Green Book
134. The Kid
135. The Father
136. Judgment at Nuremberg
137. The Truman Show
138. All About Eve
139. Top Gun: Maverick
140. Shutter Island
141. There Will Be Blood
142. Casino
143. Jurassic Park
144. Ran
145. The Sixth Sense
146. Pan's Labyrinth
147. Unforgiven
148. No Country for Old Men
149. A Beautiful Mind
150. The Thing
151. Kill Bill: Vol. 1
152. The Treasure of the Sierra Madre
153. Yojimbo
154. Monty Python and the Holy Grail
155. The Great Escape
156. Finding Nemo
157. Prisoners
158. Howl's Moving Castle
159. Rashomon
160. The Elephant Man
161. Dial M for Murder
162. Chinatown
163. Gone with the Wind
"164. Lock, Stock and Two Smoking Barrels"
165. The Secret in Their Eyes
166. V for Vendetta
167. Inside Out
168. Raging Bull
"169. Three Billboards Outside Ebbing, Missouri"
170. Trainspotting
171. The Bridge on the River Kwai
172. Klaus
173. Fargo
174. Catch Me If You Can
175. Spider-Man: No Way Home
176. Warrior
177. Gran Torino
178. Million Dollar Baby
179. Harry Potter and the Deathly Hallows: Part 2
180. My Neighbor Totoro
181. Children of Heaven
182. 12 Years a Slave
183. Ben-Hur
184. Blade Runner
185. Before Sunrise
186. The Grand Budapest Hotel
187. Barry Lyndon
188. Mad Max: Fury Road
189. Gone Girl
190. Hacksaw Ridge
191. The Gold Rush
192. Dead Poets Society
193. Memories of Murder
194. In the Name of the Father
195. Wild Tales
196. The Deer Hunter
"197. Monsters, Inc."
198. The General
199. On the Waterfront
200. Sherlock Jr.
201. How to Train Your Dragon
202. Jaws
203. The Third Man
204. The Wages of Fear
205. Mary and Max
206. Wild Strawberries
207. Ratatouille
208. Mr. Smith Goes to Washington
209. Ford v Ferrari
210. Tokyo Story
211. The Big Lebowski
212. Room
213. The Seventh Seal
214. Rocky
215. Logan
216. Spotlight
217. Hotel Rwanda
218. The Terminator
219. Platoon
220. La haine
221. The Passion of Joan of Arc
222. Before Sunset
223. The Best Years of Our Lives
224. Pirates of the Caribbean: The Curse of the Black Pearl
225. The Exorcist
226. Jai Bhim
227. Rush
228. Network
229. The Wizard of Oz
230. Stand by Me
231. The Incredibles
232. Hachi: A Dog's Tale
233. My Father and My Son
234. The Handmaiden
235. Into the Wild
236. The Sound of Music
237. To Be or Not to Be
238. The Battle of Algiers
239. The Grapes of Wrath
240. Groundhog Day
241. Amores Perros
242. The Iron Giant
243. Rebecca
244. Cool Hand Luke
245. The Help
246. It Happened One Night
247. Drishyam
248. Dances with Wolves
249. Aladdin
250. Gangs of Wasseypur
You have rated
More to explore
Charts
Top Box Office (US)
Most Popular Movies
Top Rated English Movies
Most Popular TV Shows
Top 250 TV Shows
Lowest Rated Movies
Most Popular Celebs
Movie News
Top Rated Movies by Genre
Recently viewed
