Movie Title,Released Year,Duration,Restrticted Rating,Rating (Star out of 10),User Vote,Director (1),Director (2),Director (3),Starring (1),Starring (2),Starring (3),Synopsis
 Heat,1995,2h 50m,R,8.3, 723K,Michael Mann,,,Al Pacino,Robert De Niro,Val Kilmer,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
 Up,2009,1h 36m,PG,8.3, 1.1M,Pete Docter,Bob Peterson,,Edward Asner,Jordan Nagai,John Ratzenberger,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
 A Clockwork Orange,1971,2h 16m,R,8.3, 884K,Stanley Kubrick,,,Malcolm McDowell,Patrick Magee,Michael Bates,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
 To Kill a Mockingbird,1962,2h 9m,Approved,8.3, 334K,Robert Mulligan,,,Gregory Peck,John Megna,Frank Overton,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
 A Separation,2011,2h 3m,PG-13,8.3, 260K,Asghar Farhadi,,,Payman Maadi,Leila Hatami,Sareh Bayat,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
 The Sting,1973,2h 9m,PG,8.3, 281K,George Roy Hill,,,Paul Newman,Robert Redford,Robert Shaw,Two grifters team up to pull off the ultimate con.
 Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2, 814K,Steven Spielberg,,,Harrison Ford,Sean Connery,Alison Doody,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
 Die Hard,1988,2h 12m,R,8.2, 949K,John McTiernan,,,Bruce Willis,Alan Rickman,Bonnie Bedelia,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
 Like Stars on Earth,2007,2h 42m,PG,8.3, 208K,Aamir Khan,Amole Gupte,,Darsheel Safary,Aamir Khan,Tisca Chopra,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
 Metropolis,1927,2h 33m,Not Rated,8.3, 186K,Fritz Lang,,,Brigitte Helm,Alfred Abel,Gustav Fröhlich,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
 Snatch,2000,1h 42m,R,8.2, 914K,Guy Ritchie,,,Jason Statham,Brad Pitt,Stephen Graham,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
 L.A. Confidential,1997,2h 18m,R,8.2, 621K,Curtis Hanson,,,Kevin Spacey,Russell Crowe,Guy Pearce,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
 1917,2019,1h 59m,R,8.2, 681K,Sam Mendes,,,Dean-Charles Chapman,George MacKay,Daniel Mays,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
 Hamilton,2020,2h 40m,PG-13,8.3, 115K,Thomas Kail,,,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
 Bicycle Thieves,1948,1h 29m,Not Rated,8.3, 176K,Vittorio De Sica,,,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
 Taxi Driver,1976,1h 54m,R,8.2, 926K,Martin Scorsese,,,Robert De Niro,Jodie Foster,Cybill Shepherd,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
 Downfall,2004,2h 36m,R,8.2, 376K,Oliver Hirschbiegel,,,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
 Dangal,2016,2h 41m,Not Rated,8.3, 212K,Nitesh Tiwari,,,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
 For a Few Dollars More,1965,2h 12m,R,8.2, 276K,Sergio Leone,,,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery."
 Batman Begins,2005,2h 20m,PG-13,8.2, 1.6M,Christopher Nolan,,,Christian Bale,Michael Caine,Ken Watanabe,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
 The Wolf of Wall Street,2013,3h,R,8.2, 1.6M,Martin Scorsese,,,Leonardo DiCaprio,Jonah Hill,Margot Robbie,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
 Some Like It Hot,1959,2h 1m,Approved,8.2, 285K,Billy Wilder,,,Marilyn Monroe,Tony Curtis,Jack Lemmon,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
 Green Book,2018,2h 10m,PG-13,8.2, 578K,Peter Farrelly,,,Viggo Mortensen,Mahershala Ali,Linda Cardellini,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
 The Kid,1921,1h 8m,Passed,8.2, 135K,Charles Chaplin,,,Charles Chaplin,Edna Purviance,Jackie Coogan,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
 The Father,2020,1h 37m,PG-13,8.2, 195K,Florian Zeller,,,Anthony Hopkins,Olivia Colman,Mark Gatiss,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
 Judgment at Nuremberg,1961,2h 59m,Approved,8.3, 86K,Stanley Kramer,,,Spencer Tracy,Burt Lancaster,Richard Widmark,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
 The Truman Show,1998,1h 43m,PG,8.2, 1.2M,Peter Weir,,,Jim Carrey,Ed Harris,Laura Linney,An insurance salesman discovers his whole life is actually a reality TV show.
 All About Eve,1950,2h 18m,Approved,8.2, 139K,Joseph L. Mankiewicz,,,Bette Davis,Anne Baxter,George Sanders,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
 Top Gun: Maverick,2010,2h 18m,R,8.2, 1.5M,Joseph Kosinski,,,Tom Cruise,Jennifer Connelly,Miles Teller,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
 Shutter Island,2022,2h 10m,PG-13,8.2, 708K,Martin Scorsese,,,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
 There Will Be Blood,2007,2h 38m,R,8.2, 644K,Paul Thomas Anderson,,,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
 Casino,1995,2h 58m,R,8.2, 567K,Martin Scorsese,,,Robert De Niro,Sharon Stone,Joe Pesci,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
 Jurassic Park,1993,2h 7m,PG-13,8.2, 1.1M,Steven Spielberg,,,Sam Neill,Laura Dern,Jeff Goldblum,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
 Ran,1985,2h 40m,R,8.2, 137K,Akira Kurosawa,,,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
 The Sixth Sense,1999,1h 47m,PG-13,8.2, 1.1M,M. Night Shyamalan,,,Bruce Willis,Haley Joel Osment,Toni Collette,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
 Pan's Labyrinth,2006,1h 58m,R,8.2, 705K,Guillermo del Toro,,,Ivana Baquero,Ariadna Gil,Sergi López,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
 Unforgiven,1992,2h 10m,R,8.2, 438K,Clint Eastwood,,,Clint Eastwood,Gene Hackman,Morgan Freeman,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
 No Country for Old Men,2007,2h 2m,R,8.2, 1.1M,Ethan Coen,Joel Coen,,Tommy Lee Jones,Javier Bardem,Josh Brolin,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
 A Beautiful Mind,2001,2h 15m,PG-13,8.2, 991K,Ron Howard,,,Russell Crowe,Ed Harris,Jennifer Connelly,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
 The Thing,1982,1h 49m,R,8.2, 469K,John Carpenter,,,Kurt Russell,Wilford Brimley,Keith David,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
 Kill Bill: Vol. 1,2003,1h 51m,R,8.2, 1.2M,Quentin Tarantino,,,Uma Thurman,David Carradine,Daryl Hannah,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
 The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2, 133K,John Huston,,,Humphrey Bogart,Walter Huston,Tim Holt,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
 Yojimbo,1961,1h 50m,Not Rated,8.2, 132K,Akira Kurosawa,,,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
 Monty Python and the Holy Grail,1975,1h 31m,PG,8.2, 572K,Terry Gilliam,Terry Jones,,Graham Chapman,John Cleese,Eric Idle,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
 The Great Escape,1963,2h 52m,Approved,8.2, 260K,John Sturges,,,Steve McQueen,James Garner,Richard Attenborough,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
 Finding Nemo,2003,1h 40m,G,8.2, 1.1M,Andrew Stanton,Lee Unkrich,,Albert Brooks,Ellen DeGeneres,Alexander Gould,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
 Prisoners,2013,2h 33m,R,8.2, 815K,Denis Villeneuve,,,Hugh Jackman,Jake Gyllenhaal,Viola Davis,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
 Howl's Moving Castle,2004,1h 59m,PG,8.2, 453K,Hayao Miyazaki,,,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
 Rashomon,1950,1h 28m,Not Rated,8.2, 181K,Akira Kurosawa,,,Toshirô Mifune,Machiko Kyô,Masayuki Mori,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
 The Elephant Man,1980,2h 4m,PG,8.2, 259K,David Lynch,,,Anthony Hopkins,John Hurt,Anne Bancroft,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
 Dial M for Murder,1954,1h 45m,PG,8.2, 190K,Alfred Hitchcock,,,Ray Milland,Grace Kelly,Robert Cummings,A former tennis star arranges the murder of his adulterous wife.
 Chinatown,1974,2h 10m,R,8.1, 351K,Roman Polanski,,,Jack Nicholson,Faye Dunaway,John Huston,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
 Gone with the Wind,1939,3h 58m,G,8.2, 335K,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,Thomas Mitchell,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
" Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1, 618K,Guy Ritchie,,,Jason Flemyng,Dexter Fletcher,Nick Moran,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
 The Secret in Their Eyes,2009,2h 9m,R,8.2, 223K,Juan José Campanella,,,Ricardo Darín,Soledad Villamil,Pablo Rago,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
 V for Vendetta,2005,2h 12m,R,8.2, 1.2M,James McTeigue,,,Hugo Weaving,Natalie Portman,Rupert Graves,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
 Inside Out,2015,1h 35m,PG,8.1, 791K,Pete Docter,Ronnie Del Carmen,,Amy Poehler,Bill Hader,Lewis Black,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
 Raging Bull,1980,2h 9m,R,8.1, 382K,Martin Scorsese,,,Robert De Niro,Cathy Moriarty,Joe Pesci,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
" Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1, 558K,Martin McDonagh,,,Frances McDormand,Woody Harrelson,Sam Rockwell,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
 Trainspotting,1996,1h 33m,R,8.1, 728K,Danny Boyle,,,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
 The Bridge on the River Kwai,1957,2h 41m,PG,8.1, 234K,David Lean,,,William Holden,Alec Guinness,Jack Hawkins,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
 Klaus,2019,1h 36m,PG,8.2, 191K,Sergio Pablos,Carlos Martínez López,,Jason Schwartzman,J.K. Simmons,Rashida Jones,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
 Fargo,1996,1h 38m,R,8.1, 730K,Joel Coen,Ethan Coen,,William H. Macy,Frances McDormand,Steve Buscemi,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
 Catch Me If You Can,2002,2h 21m,PG-13,8.1, 1.1M,Steven Spielberg,,,Leonardo DiCaprio,Tom Hanks,Christopher Walken,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
 Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2, 887K,Jon Watts,,,Tom Holland,Zendaya,Benedict Cumberbatch,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
 Warrior,2011,2h 20m,PG-13,8.1, 500K,Gavin O'Connor,,,Tom Hardy,Nick Nolte,Joel Edgerton,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
 Gran Torino,2008,1h 56m,R,8.1, 817K,Clint Eastwood,,,Clint Eastwood,Bee Vang,Christopher Carley,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
 Million Dollar Baby,2004,2h 12m,PG-13,8.1, 724K,Clint Eastwood,,,Hilary Swank,Clint Eastwood,Morgan Freeman,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
 Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1, 953K,David Yates,,,Daniel Radcliffe,Emma Watson,Rupert Grint,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
 My Neighbor Totoro,1988,1h 26m,G,8.1, 383K,Hayao Miyazaki,,,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
 Children of Heaven,1997,1h 29m,PG,8.2, 81K,Majid Majidi,,,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
 12 Years a Slave,2013,2h 14m,R,8.1, 744K,Steve McQueen,,,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,"In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery."
 Ben-Hur,1959,3h 32m,G,8.1, 255K,William Wyler,,,Charlton Heston,Jack Hawkins,Stephen Boyd,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
 Blade Runner,1982,1h 57m,R,8.1, 826K,Ridley Scott,,,Harrison Ford,Rutger Hauer,Sean Young,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
 Before Sunrise,1995,1h 41m,R,8.1, 341K,Richard Linklater,,,Ethan Hawke,Julie Delpy,Andrea Eckert,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
 The Grand Budapest Hotel,2014,1h 39m,R,8.1, 891K,Wes Anderson,,,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
 Barry Lyndon,1975,3h 5m,PG,8.1, 184K,Stanley Kubrick,,,Ryan O'Neal,Marisa Berenson,Patrick Magee,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
 Mad Max: Fury Road,2015,2h,R,8.1, 1.1M,George Miller,,,Tom Hardy,Charlize Theron,Nicholas Hoult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
 Gone Girl,2014,2h 29m,R,8.1, 1.1M,David Fincher,,,Ben Affleck,Rosamund Pike,Neil Patrick Harris,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
 Hacksaw Ridge,2016,2h 19m,R,8.1, 599K,Mel Gibson,,,Andrew Garfield,Sam Worthington,Luke Bracey,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
 The Gold Rush,1925,1h 35m,Approved,8.1, 119K,Charles Chaplin,,,Charles Chaplin,Mack Swain,Tom Murray,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
 Dead Poets Society,1989,2h 8m,PG,8.1, 550K,Peter Weir,,,Robin Williams,Robert Sean Leonard,Ethan Hawke,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression."
 Memories of Murder,2003,2h 12m,Not Rated,8.1, 219K,Bong Joon Ho,,,Song Kang-ho,Kim Sang-kyung,Kim Roe-ha,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
 In the Name of the Father,1993,2h 13m,R,8.1, 188K,Jim Sheridan,,,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them."
 Wild Tales,2014,2h 2m,R,8.1, 218K,Damián Szifron,,,Darío Grandinetti,María Marull,Mónica Villa,Six short stories that explore the extremities of human behavior involving people in distress.
 The Deer Hunter,1978,3h 3m,R,8.1, 364K,Michael Cimino,,,Robert De Niro,Christopher Walken,John Cazale,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
" Monsters, Inc.",2001,1h 32m,G,8.1, 983K,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,Mary Gibbs,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
 The General,1926,1h 18m,Passed,8.1, 99K,Clyde Bruckman,Buster Keaton,,Buster Keaton,Marion Mack,Glen Cavender,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
 On the Waterfront,1954,1h 48m,Approved,8.1, 166K,Elia Kazan,,,Marlon Brando,Karl Malden,Lee J. Cobb,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
 Sherlock Jr.,1924,45m,Passed,8.2, 57K,Buster Keaton,,,Buster Keaton,Kathryn McGuire,Joe Keaton,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
 How to Train Your Dragon,2010,1h 38m,PG,8.1, 804K,Dean DeBlois,Chris Sanders,,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
 Jaws,1975,2h 4m,PG,8.1, 663K,Steven Spielberg,,,Roy Scheider,Robert Shaw,Richard Dreyfuss,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
 The Third Man,1949,1h 33m,Approved,8.1, 183K,Carol Reed,,,Orson Welles,Joseph Cotten,Alida Valli,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
 The Wages of Fear,1953,2h 11m,Not Rated,8.1, 67K,Henri-Georges Clouzot,,,Yves Montand,Charles Vanel,Peter van Eyck,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
 Mary and Max,2009,1h 32m,Not Rated,8.1, 187K,Adam Elliot,,,Toni Collette,Philip Seymour Hoffman,Eric Bana,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome."
 Wild Strawberries,1957,1h 31m,Not Rated,8.1, 115K,Ingmar Bergman,,,Victor Sjöström,Bibi Andersson,Ingrid Thulin,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
 Ratatouille,2007,1h 51m,G,8.1, 831K,Brad Bird,Jan Pinkava,,Brad Garrett,Lou Romano,Patton Oswalt,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
 Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1, 122K,Frank Capra,,,James Stewart,Jean Arthur,Claude Rains,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
 Ford v Ferrari,2019,2h 32m,PG-13,8.1, 481K,James Mangold,,,Matt Damon,Christian Bale,Jon Bernthal,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
 Tokyo Story,1953,2h 16m,Not Rated,8.1, 69K,Yasujirô Ozu,,,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,"An old couple visit their children and grandchildren in the city, but receive little attention."
 The Big Lebowski,1998,1h 57m,R,8.1, 864K,Joel Coen,Ethan Coen,,Jeff Bridges,John Goodman,Julianne Moore,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
 Room,2015,1h 58m,R,8.1, 452K,Lenny Abrahamson,,,Brie Larson,Jacob Tremblay,Sean Bridgers,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
 The Seventh Seal,1976,2h,PG,8.1, 631K,John G. Avildsen,,,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
 Rocky,1957,1h 36m,Not Rated,8.1, 199K,Ingmar Bergman,,,Sylvester Stallone,Talia Shire,Burt Young,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
 Logan,2017,2h 17m,R,8.1, 837K,James Mangold,,,Hugh Jackman,Patrick Stewart,Dafne Keen,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
 Spotlight,2015,2h 9m,R,8.1, 504K,Tom McCarthy,,,Mark Ruffalo,Michael Keaton,Rachel McAdams,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
 Hotel Rwanda,2004,2h 1m,PG-13,8.1, 373K,Terry George,,,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
 The Terminator,1984,1h 47m,R,8.1, 928K,James Cameron,,,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
 Platoon,1986,2h,R,8.1, 441K,Oliver Stone,,,Charlie Sheen,Tom Berenger,Willem Dafoe,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
 La haine,1995,1h 38m,Not Rated,8.1, 198K,Mathieu Kassovitz,,,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
 The Passion of Joan of Arc,1928,1h 54m,Passed,8.1, 61K,Carl Theodor Dreyer,,,Maria Falconetti,Eugene Silvain,André Berley,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
