Movie Title,Released Year,Duration,Restrticted Rating,Rating (Star out of 10),User Vote,Director (1),Director (2),Director (3),Starring (1),Starring (2),Starring (3),Synopsis
 City of God,2002,2h 10m,R,8.6, 804K,Fernando Meirelles,Kátia Lund,,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
 Life Is Beautiful,1997,1h 56m,PG-13,8.6, 746K,Roberto Benigni,,,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
 The Green Mile,1999,3h 9m,R,8.6, 1.4M,Frank Darabont,,,Tom Hanks,Michael Clarke Duncan,David Morse,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."
 Terminator 2: Judgment Day,1991,2h 17m,R,8.6, 1.2M,James Cameron,,,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
 Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6, 1.5M,George Lucas,,,Mark Hamill,Harrison Ford,Carrie Fisher,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
 Dune: Part Two,2024,2h 46m,PG-13,8.6, 442K,Denis Villeneuve,,,Timothée Chalamet,Zendaya,Rebecca Ferguson,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
 Back to the Future,1985,1h 56m,PG,8.5, 1.3M,Robert Zemeckis,,,Michael J. Fox,Christopher Lloyd,Lea Thompson,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
 Spirited Away,2001,2h 5m,PG,8.6, 855K,Hayao Miyazaki,,,Daveigh Chase,Suzanne Pleshette,Miyu Irino,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
 The Pianist,2002,2h 30m,R,8.5, 918K,Roman Polanski,,,Adrien Brody,Thomas Kretschmann,Frank Finlay,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
 Parasite,2019,2h 12m,R,8.5, 969K,Bong Joon Ho,,,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
 Psycho,1960,1h 49m,R,8.5, 722K,Alfred Hitchcock,,,Anthony Perkins,Janet Leigh,Vera Miles,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
 Gladiator,2000,2h 35m,R,8.5, 1.6M,Ridley Scott,,,Russell Crowe,Joaquin Phoenix,Connie Nielsen,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
